"Name","Location","Type","Data Type","Namespace","Source"
"ToBtlPadScrollWait","00898db0","Data Label","undefined","Global","User Defined"
"+EMPTY_STRING","00b8fbdb","Data Label","string","Global","User Defined"
"asmreg_R","00c0a000","Data Label","undefined4","Global","User Defined"
"asmreg_vf0","00c0a004","Data Label","Vector4","Global","User Defined"
"s_preferredThreadCount","00c0b950","Data Label","undefined4","Global","User Defined"
"s_preferredWorkspaceSize","00c0b954","Data Label","undefined4","Global","User Defined"
"s_preferredStackSize","00c0b958","Data Label","undefined4","Global","User Defined"
"s_preferredMaxJobCount","00c0b95c","Data Label","undefined4","Global","User Defined"
"g_currentVFXType","00c322a2","Data Label","undefined1","Global","User Defined"
"eternalCalmId","00c33460","Data Label","undefined4","Global","User Defined"
"eternalCalmSize","00c3347c","Data Label","undefined","Global","User Defined"
"eternalCalmMgrpSize","00c33498","Data Label","undefined","Global","User Defined"
"eternalCalmName","00c334b0","Data Label","undefined *","Global","User Defined"
"eternalMgrpName","00c334cc","Data Label","undefined *","Global","User Defined"
"tex_single","00c33608","Data Label","pointer","Global","User Defined"
"tex_multi","00c3360c","Data Label","pointer","Global","User Defined"
"gExcludeFromCacheKeywords","00c34174","Data Label","pointer","Global","User Defined"
"LOADING_SCREEN_LOGO_PATHS","00c34f68","Data Label","pointer","Global","User Defined"
"PC_IconFilePath","00c35028","Data Label","string","Global","User Defined"
"Joypad_IconFilePath","00c35068","Data Label","string","Global","User Defined"
"SAVELOAD_FILENAME","00c35774","Data Label","pointer","Global","User Defined"
"curCameraDataFloatCount","00c38e10","Data Label","undefined4","Global","User Defined"
"vecRgba8Denom","00c3a480","Data Label","undefined","Global","User Defined"
"lppEnv","00c3a4c4","Data Label","pointer","Global","User Defined"
"vfxAlphaLimit","00c3a4c8","Data Label","undefined","Global","User Defined"
"VFX_UseOptimizedTrans","00c3a4d4","Data Label","undefined4","Global","User Defined"
"g_fprim_id","00c3a4f8","Data Label","undefined4","Global","User Defined"
"g_fpct","00c3a4fc","Data Label","undefined4","Global","User Defined"
"pppSysProgTbl","00c3a500","Data Label","pointer","Global","User Defined"
"g_scrZ","00c3e710","Data Label","undefined","Global","User Defined"
"pppProgTbl","00c3e770","Data Label","undefined","Global","User Defined"
"gMovieDrawChr","00c40e1c","Data Label","undefined4","Global","User Defined"
"AtelCallTargetsMovie","00c40e20","Data Label","AtelCallTargetsMovie","Global","User Defined"
"EnableBattle","00c421bc","Data Label","undefined4","Global","User Defined"
"gCurrentBattleNum","00c421c0","Data Label","undefined4","Global","User Defined"
"g_encounter_level","00c421c8","Data Label","undefined4","Global","User Defined"
"gLoadingPhyreCharacterData","00c421cc","Data Label","undefined4","Global","User Defined"
"msEventEffectReadTime","00c421d4","Data Label","undefined4","Global","User Defined"
"msEffectReadTime","00c421d8","Data Label","undefined4","Global","User Defined"
"isAlive","00c421ec","Data Label","undefined4","Global","User Defined"
"ms_rand_seed_normal","00c421f0","Data Label","int","Global","User Defined"
"ms_rand_seed_timer","00c421f4","Data Label","int","Global","User Defined"
"ms_stat_normal_data","00c423d8","Data Label","StatusData[12]","Global","User Defined"
"ms_stat_count_data","00c42454","Data Label","StatusData[13]","Global","User Defined"
"AtelCallTargetsBattle","00c42618","Data Label","AtelCallTargetsBattle","Global","User Defined"
"+TidusLimitIds","00c43938","Data Label","ushort[4]","Global","User Defined"
"+TidusLimitRequirements","00c43940","Data Label","int[4]","Global","User Defined"
"ms_weapon_motion_id","00c43974","Data Label","undefined2","Global","User Defined"
"AtelCallTargetsCamera","00c43988","Data Label","AtelCallTargetsCamera","Global","User Defined"
"ms_screen_width","00c44230","Data Label","undefined4","Global","User Defined"
"ms_screen_height","00c44234","Data Label","undefined4","Global","User Defined"
"ms_actor_str","00c44940","Data Label","string *[31]","Global","User Defined"
"ms_output_name","00c449f0","Data Label","string","Global","User Defined"
"ms_system_name","00c449f8","Data Label","string","Global","User Defined"
"eff_sin_t","00c44be0","Data Label","undefined4","Global","User Defined"
"ot_eot_eternal","00c48d88","Data Label","pointer","Global","User Defined"
